,Name,0.0,0.0_std,0.01,0.01_std,0.02,0.02_std,0.03,0.03_std,0.04,0.04_std,0.05,0.05_std,0.06,0.06_std,0.07,0.07_std,0.08,0.08_std,0.09,0.09_std,0.1,0.1_std,Optimal,Benchmark
ff_across_noise,,8060.919447513926,21.700402092106188,7718.833785468612,199.4179048796714,7074.708267221739,313.86484833224523,7084.904107385019,330.0228877243097,6807.894059837378,490.4158291963457,6729.400140052991,569.4493353917084,6735.581994723257,496.5410143762541,6455.19217472176,851.68047980101,6191.851463862135,412.33798093642827,6236.749679362163,752.1764585763974,6051.071643709954,672.8959918122708,8284.719700851987,6111.285610895816
bandit_across_noise,,8099.3407632672115,58.43676328367196,7694.130776058552,151.85263880613425,7579.769204441271,345.8283099829367,6861.6099152912575,467.3111966679713,6905.3265722344495,639.4005275113169,6463.211389699734,352.80453873166135,6645.972172693856,368.20016220652377,6139.71179137015,926.1877303279205,6310.267088896672,497.34784313397955,6327.855631188405,742.1253205235872,6121.573181490666,576.5678548513143,8284.719700851987,4537.846472552779
ff_across_noise_muhigh,,5855.5079392772,19.813240032777642,6089.869420676877,125.47215468391667,6275.909134477035,218.6198154047057,6285.677064675023,403.43261613304287,6149.19579579201,611.6786154812166,6067.395720854153,395.31702764571054,5836.02497226243,470.39422213054024,5922.729750188524,426.6418607710585,5860.776207502358,901.9287324301023,5348.082965725481,553.493117804945,5641.859651141644,778.9731213354258,8284.719700851987,6111.285610895816
bandit_across_noise_muhigh,,5855.5079392772,19.813240032777642,6089.869420676877,125.47215468391667,6275.909134477035,218.6198154047057,6285.677064675023,403.43261613304287,6149.19579579201,611.6786154812166,6067.395720854153,395.31702764571054,5836.02497226243,470.39422213054024,5922.729750188524,426.6418607710585,5860.776207502358,901.9287324301023,5348.082965725481,553.493117804945,5641.859651141644,778.9731213354258,8284.719700851987,4537.846472552779
ff_across_noise_mulow,,8001.3350696124935,18.870484719079784,7532.044704833183,207.37849777558284,7181.162762848269,420.6710029761287,6846.101109066821,390.0119968593336,6957.051336855865,421.00602946029176,6683.372123326641,567.3922042353479,6170.887315300319,457.5613936895032,6275.258132500376,554.3119500367594,6465.146467071189,463.23989964010747,6022.554849562431,661.7017906579953,6328.39990398486,340.2487540140985,8284.719700851987,6111.285610895816
bandit_across_noise_mulow,,8060.111159587554,52.29910877302499,7749.334689030069,182.07729488850828,7346.390695720193,351.90034630307565,6831.52345627693,338.9835061539715,6836.544935862543,440.37670390779687,6572.187766776417,556.5186438194718,6380.393569716475,691.81424862184,6481.271217275611,662.4000299577882,6177.327483100484,533.4098408407024,6543.924868537923,560.9677747569061,6083.862311880113,484.8039990063014,8284.719700851987,4537.846472552779
