,Name,0.5,0.5_std,0.65,0.65_std,0.8,0.8_std,0.95,0.95_std,1.1,1.1_std,1.25,1.25_std,1.40,1.40_std,1.55,1.55_std,1.70,1.70_std,1.85,1.85_std,2.0,2.0_std,Optimal,Benchmark
ff_across_noise,,5556.003111264936,940.5195910706029,4879.34772475443,981.7980362184461,5036.942275831666,450.7803373960082,5319.265221357849,515.371695016394,5011.177270069702,520.3367845712418,5545.710060886107,1162.4448097134455,4301.666978421233,865.8557957251768,4866.95909063653,916.8185850943687,4695.789578188158,909.6076399883217,4902.250774383079,734.5895181015784,5425.5006306532005,986.0084884481201,8284.719700851987,6111.285610895816
bandit_across_noise,,5608.718192242692,939.2613184096758,5195.774326567216,902.4594764902357,5130.006382276752,1153.3520067434076,5181.262925497291,544.7876105969877,4935.356116252039,1140.4963234472668,5115.143403109444,781.0104483378085,5463.883097552551,1153.0395394846746,5624.859905707938,997.0219073009753,5273.206275016565,1144.2248286772276,5073.803744487994,750.7090817616033,4995.491501476939,839.2014994321225,8284.719700851987,4537.846472552779
ff_across_noise_muhigh,,4951.868405651825,942.4259013420326,4263.0100203621505,874.5076098829858,4465.1467865365,642.8202330607165,4299.701978458182,890.1497325697517,4736.336902627076,1105.0126797756363,4103.801884288895,671.8381684664151,3935.6023368500696,755.2038325792516,4473.852895415181,854.7874981728555,4891.724373171613,913.6257450228317,4031.4209589654442,680.6026498719036,4769.403651932445,875.5356463890937,8284.719700851987,6111.285610895816
bandit_across_noise_muhigh,,4951.868405651825,942.4259013420326,4263.0100203621505,874.5076098829858,4465.1467865365,642.8202330607165,4299.701978458182,890.1497325697517,4736.336902627076,1105.0126797756363,4103.801884288895,671.8381684664151,3935.6023368500696,755.2038325792516,4473.852895415181,854.7874981728555,4891.724373171613,913.6257450228317,4031.4209589654442,680.6026498719036,4769.403651932445,875.5356463890937,8284.719700851987,4537.846472552779
ff_across_noise_mulow,,5520.476407816304,934.0817419630183,5100.77553670562,631.049803416919,4841.430606786718,834.0034106884111,5104.3182503866265,748.8673896171707,4644.403852830515,835.0223401050079,5038.423178875622,757.3243906470886,4540.057342445399,583.2999499742426,4509.977906004741,871.3537264225128,4856.611413913526,819.9367310825256,5065.2256812026635,754.1810943466741,4824.464504034489,532.784105847371,8284.719700851987,6111.285610895816
bandit_across_noise_mulow,,5599.659938915315,938.9295659818526,5325.387783276432,712.3322776161881,5077.957699898664,550.8399113987339,5125.099896807847,704.4966914644879,5640.05228580782,721.0748754284265,4903.018967976944,1055.88767851213,4714.003877588055,616.5792941902499,5307.514171993889,753.4619735621465,5406.216380078927,916.7125542160414,4956.612971175096,885.3948368546113,5130.711002130296,789.9357375690612,8284.719700851987,4537.846472552779
